,song_title,artists,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1699,Working Class Hero - Remastered 2010,John Lennon,1yKQBy7olMIqRpziyAzf8c,0.484,0.165,7,-18.568,1,0.0498,0.728,1.19e-06,0.115,0.193,159.174
1700,Can't Stand Losing You,The Police,4scS449npSaFolwj9b4RJD,0.782,0.549,2,-12.066,0,0.344,0.0647,0.000111,0.0774,0.955,142.484
1701,You Got It,Roy Orbison,1WrRkZ0LxyOV8GD4GrgiWM,0.655,0.585,9,-11.556,1,0.0273,0.595,2.47e-06,0.309,0.669,114.68
1702,Desert Rose,Sting,3zYufmyv6HOuiHn1eMR6Ja,0.586,0.659,0,-7.92,0,0.0304,0.011,0.0,0.106,0.147,111.989
1703,Move on Up,Curtis Mayfield,0MHXrqn909p0LRTPsNsGEi,0.538,0.969,11,-5.626,0,0.0906,0.417,0.00154,0.119,0.928,138.652
1704,Stranger in Moscow,Michael Jackson,64KrFHj9p5AyCX2yZQr4YJ,0.802,0.468,1,-8.629,1,0.0378,0.248,0.000601,0.32,0.586,129.937
1705,As,Stevie Wonder,13toFl1UwJPsRxDiD9jgtn,0.467,0.869,8,-10.342,0,0.0559,0.0589,0.0,0.244,0.684,102.376
1706,Why,Annie Lennox,2fYYmPNwDaNpw1KRSxpQ5H,0.532,0.471,0,-9.27,1,0.0237,0.281,6.05e-05,0.134,0.12,90.936
1707,New York Minute,Don Henley,6jkqaUJm7Tv0EWpY28iQq2,0.549,0.29,8,-12.172,0,0.0267,0.339,0.0,0.0376,0.105,132.027
1708,Rock with You - Single Version,Michael Jackson,7oOOI85fVQvVnK5ynNMdW7,0.808,0.535,1,-12.521,1,0.0353,0.179,9.91e-05,0.158,0.848,114.031
1709,Something Happened on the Way to Heaven - 2016 Remaster,Phil Collins,4ziqqoW1o3P5EhNqK6CPb1,0.656,0.88,5,-4.137,0,0.0287,0.184,0.00609,0.272,0.88,114.613
1710,No Diggity,Blackstreet,6MdqqkQ8sSC0WB4i8PyRuQ,0.867,0.646,1,-4.674,0,0.288,0.303,0.0,0.279,0.67,88.634
1711,Hot for Teacher - 2015 Remaster,Van Halen,6QDbGdbJ57Mtkflsg42WV5,0.552,0.947,2,-4.671,1,0.15,0.000652,0.00025,0.0637,0.465,127.631
1712,"Close to the Edge (i. The Solid Time of Change, ii. Total Mass Retain, iii. I Get up I Get Down, iv. Seasons of Man) - 2003 Remaster",Yes,47dPsSo7cEDNkvIOSB4O2k,0.222,0.597,5,-10.924,1,0.056,0.265,0.155,0.411,0.251,80.654
1713,I Got You Babe,UB40,07itbZUgkAmBi4CEH5NniJ,0.756,0.61,5,-13.002,1,0.0709,0.0806,7.89e-05,0.114,0.863,173.818
1714,Water Of Love,Dire Straits,62JvDbmEtwIU3m4LhiG6Ah,0.817,0.552,7,-12.962,1,0.0336,0.481,0.0144,0.187,0.939,120.918
1715,You Win Again,Bee Gees,5mwzpzRue1SBWwrbbhXfbf,0.547,0.831,11,-11.298,0,0.0319,0.0874,8.34e-06,0.222,0.909,168.581
1716,Beast Of Burden - Remastered 1994,The Rolling Stones,77oU2rjC5XbjQfNe3bD6so,0.783,0.878,1,-3.864,0,0.0308,0.39,0.000778,0.0426,0.885,100.626
1717,I Don't Care (with Justin Bieber),Ed Sheeran,3HVWdVOQ0ZA45FuZGSfvns,0.798,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.842,101.956
1718,Black Dog - Remaster,Led Zeppelin,3qT4bUD1MaWpGrTwcvguhb,0.437,0.864,4,-7.842,0,0.0904,0.396,0.0314,0.242,0.749,81.394
1719,Get Ready,Rare Earth,6pN3ra1mEPtjFsdCvDDHW3,0.413,0.869,0,-5.843,1,0.0441,0.00283,0.529,0.827,0.65,127.355
1720,I Won't Let You Down,Ph.D.,4Puh2M4qWDAY5qYMdIYic1,0.643,0.351,4,-14.341,1,0.0266,0.492,0.000106,0.128,0.588,106.022
1721,An End Has a Start,Editors,1U2xFfjK1QUuicENnW0iwv,0.351,0.923,6,-2.435,0,0.0537,2.03e-05,0.116,0.337,0.543,149.915
1722,Je Loog Tegen Mij,Drukwerk,53348QPO1Bhkd8oFABaGYK,0.621,0.35,9,-14.463,1,0.0312,0.455,0.0,0.0862,0.663,78.97
1723,Wanna Be Startin' Somethin',Michael Jackson,2kulOHR2XY6YDZCWXb38hn,0.846,0.922,6,-4.206,0,0.0438,0.0219,0.355,0.0623,0.899,122.195
1724,Sylvia's Mother,Dr. Hook,4hLk7Bjz1XJWNDiqovvgBW,0.303,0.47,9,-12.715,1,0.0512,0.692,0.0,0.339,0.563,168.104
1725,Somebody to Love,Jefferson Airplane,4uGIJG1jYFonGc4LGp5uQL,0.504,0.578,4,-9.302,1,0.031,0.408,0.0,0.321,0.654,132.411
1726,If I Were a Boy,Beyoncé,1oQZk2bKBLgP1cbuFKvjkq,0.63,0.504,6,-6.152,1,0.0334,0.0953,0.0,0.308,0.487,89.946
1727,Family Portrait,P!nk,6VD5vEK2wVfTG7q84pJ6EO,0.65,0.685,0,-5.26,0,0.139,0.0272,3.56e-06,0.572,0.735,183.695
1728,Quiero,Julio Iglesias,6Lujha28PPV5Af6wrmc0Z1,0.682,0.5,10,-16.492,0,0.0426,0.476,0.0,0.125,0.914,135.108
1729,Hemingway,BLØF,5XaLdBQyaJTfdTYM9TAJ3f,0.314,0.727,11,-7.935,0,0.0409,0.0503,1.2e-06,0.195,0.323,84.448
1730,Into the Mystic - 2013 Remaster,Van Morrison,3lh3iiiJeiBXHSZw6u0kh6,0.608,0.524,8,-10.266,1,0.0309,0.367,0.00254,0.115,0.797,86.204
1731,Damn Those Eyes,Kane,4V794XzFIhbBi8nnVlCd54,0.335,0.764,11,-7.184,0,0.0412,0.00014,0.0,0.353,0.331,172.235
1732,Home,Michael Bublé,3lyLqIn8mybyEFTs8JJaLf,0.608,0.37,7,-9.207,1,0.0306,0.844,1.87e-05,0.112,0.349,127.631
1733,Pa,Doe Maar,3WuphonBW94Yecg9jEsRTE,0.934,0.585,4,-12.253,0,0.0528,0.427,0.00144,0.11,0.964,128.865
1734,Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,1di1BEgJYzPvXUuinsYJGP,0.731,0.853,10,-4.219,0,0.0363,0.0352,0.0,0.268,0.605,108.016
1735,Counting Stars,OneRepublic,2tpWsVSb9UEmDRxAl1zhX1,0.664,0.705,1,-4.972,0,0.0382,0.0654,0.0,0.118,0.477,122.016
1736,This Is Who We Are,DI-RECT,4mZRkSI8Aqzh1ZbxE0jtnB,0.41,0.614,1,-4.959,1,0.0261,0.0461,0.0,0.192,0.318,83.488
1737,Pretty Fly (For A White Guy),The Offspring,3SFXsFpeGmBTtQvKiwYMDA,0.723,0.895,11,-3.707,0,0.102,0.088,0.0,0.0717,0.963,143.373
1738,Down Man,Brainbox,11ygR5HZFXjtQIF3ggvwvr,0.431,0.763,7,-8.551,0,0.0563,0.00177,0.0064,0.1,0.513,167.856
1739,Hard To Handle,The Black Crowes,05NYcsjJwOYq4jIiKPVj9p,0.599,0.79,4,-3.58,1,0.043,0.00257,0.00181,0.312,0.961,103.783
1740,Girls Just Want to Have Fun,Cyndi Lauper,7sMGwiS4vOMcz86ZY3vKYM,0.705,0.847,6,-2.588,1,0.0361,0.414,3.21e-06,0.406,0.743,120.527
1741,A Head Full of Dreams,Coldplay,6f49kbOuQSOsStBpyGvQfA,0.449,0.92,11,-4.982,1,0.0737,0.0021,0.0167,0.334,0.0772,122.984
1742,Sunrise,Simply Red,37mk7t1x4VmKmmqgRU8E2w,0.791,0.733,5,-5.123,0,0.029,0.00189,0.201,0.0859,0.917,105.987
1743,Royals,Lorde,2dLLR6qlu5UJ5gk0dKz0h3,0.674,0.428,7,-9.504,1,0.122,0.121,0.0,0.132,0.337,84.878
1744,Prikkebeen,Boudewijn de Groot,6xTyqgsvQL7lo4B0rURNaF,0.55,0.447,11,-11.853,1,0.0305,0.21,2.64e-06,0.102,0.424,109.598
1745,Hopeless Wanderer,Mumford & Sons,2v1utnp2kpcae1CcZPNK9L,0.31,0.595,7,-7.565,0,0.036,0.0135,0.00461,0.107,0.214,78.541
1746,The Model - 2009 Remaster,Kraftwerk,1FL9DHDSED6lxNMDJUJQvB,0.708,0.683,4,-7.768,0,0.0344,0.00122,0.643,0.121,0.463,123.602
1747,My Generation - Stereo Version,The Who,4u9f8hqstB7iITDJNzKhQx,0.412,0.782,2,-9.186,0,0.058,0.308,0.00822,0.0775,0.705,96.732
1748,Racing in the Street,Bruce Springsteen,4L6ZmbSmjH5swqGWrelrrN,0.569,0.273,5,-12.512,1,0.03,0.587,0.000512,0.128,0.241,86.598
1749,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,27rdGxbavYJeBphck5MZAF,0.601,0.794,7,-5.844,0,0.0671,0.00987,1.36e-06,0.388,0.244,114.066
1750,The Worker,Fischer-Z,4sxsZUKO543RzqWPeA5cQY,0.483,0.523,0,-16.034,1,0.0286,0.0177,0.133,0.123,0.898,82.253
1751,A Hard Day's Night - Remastered 2009,The Beatles,5J2CHimS7dWYMImCHkEFaJ,0.59,0.805,0,-6.481,1,0.0371,0.137,0.0,0.0996,0.797,138.514
1752,Hide In Your Shell,Supertramp,2Ty1aDZqTDY8C8pEjI40nC,0.476,0.355,7,-12.843,0,0.0429,0.471,7.42e-05,0.297,0.319,111.667
1753,Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins,6GtX0jaNL8IjVQfrDBx81z,0.404,0.72,10,-9.18,0,0.0623,5.59e-05,0.836,0.0466,0.475,121.864
1754,How Soon Is Now? - 2011 Remaster,The Smiths,1YrnDTqvcnUKxAIeXyaEmU,0.398,0.93,11,-6.76,1,0.0615,0.000854,0.121,0.0874,0.725,190.818
1755,Gloria - Live,U2,3d0WLAK0EmYkAAoQndLaHR,0.26,0.948,3,-6.149,0,0.0969,0.00371,0.0015,0.991,0.605,146.768
1756,Pyro,Kings of Leon,0umDVf77ygI5RiVp9OvNDj,0.365,0.606,1,-7.174,0,0.0415,0.00757,0.052,0.103,0.191,114.995
1757,Don't Know Why,Norah Jones,6ybViy2qrO9sIi41EgRJgx,0.732,0.198,5,-11.775,1,0.028,0.883,1.1e-05,0.0659,0.618,88.174
1758,Sweet Disposition,The Temper Trap,2PLi7OmleXPNBrGLon3sUy,0.542,0.813,2,-6.89,1,0.0429,0.0765,0.252,0.116,0.305,129.09
1759,Looking Too Closely,Fink,7bhI6rnvaVw8qgZPn32qE0,0.477,0.519,2,-12.461,1,0.0358,0.328,0.748,0.0949,0.102,175.094
1760,Isn't It Time,The Babys,3pyoAvbBO4kDKkh999Miyj,0.523,0.93,0,-6.994,1,0.104,0.389,0.000134,0.815,0.313,117.265
1761,An American Trilogy,Elvis Presley,5iPiI5NTu09tx9CkVhM3pF,0.245,0.132,0,-13.783,1,0.0315,0.729,0.00185,0.964,0.174,83.813
1762,Ventura Highway,America,4IU1RL4BKvFyXtbTwaHAvW,0.673,0.581,2,-10.205,1,0.029,0.223,0.000206,0.063,0.818,130.771
1763,Skinny Love,Birdy,4RL77hMWUq35NYnPLXBpih,0.379,0.29,4,-8.485,1,0.051,0.952,0.00106,0.118,0.169,166.467
1764,Live And Let Die,Wings,6vVgOdyL2TD9jMqXB296Io,0.431,0.513,7,-10.471,1,0.0624,0.272,0.00228,0.114,0.226,154.105
1765,Meer Dan Een Ander,Van Dik Hout,0IA7H00CDMcOqoOmCpla7u,0.561,0.175,2,-12.796,0,0.0299,0.814,0.0,0.0738,0.251,94.223
1766,Do It Again,Steely Dan,2BstRQGodshjGpeDGQiNgo,0.682,0.537,2,-10.254,0,0.0323,0.218,3.07e-05,0.0556,0.963,124.574
1767,Rock and Roll - Remaster,Led Zeppelin,4PRGxHpCpF2yoOHYKQIEwD,0.317,0.887,9,-7.292,1,0.0375,0.000582,0.00258,0.0891,0.871,169.613
1768,Fairground,Simply Red,3lghqWELEWj9yEPvme7c4W,0.718,0.731,6,-6.454,1,0.042,0.208,0.2,0.083,0.619,122.839
1769,Dromen Zijn Bedrog,Marco Borsato,2o4iWZOFE8kkl0tK66WADw,0.606,0.859,0,-8.723,0,0.0375,0.0306,0.0,0.255,0.639,132.021
1770,Times Were When,The Cats,5dlok4lYndri2ZVlcSFBOl,0.453,0.557,9,-8.933,1,0.0268,0.238,0.0,0.0462,0.612,98.93
1771,Love You Like I Love Myself,Herman Brood & His Wild Romance,7ofXA4QyxR6aPguDahX2ee,0.518,0.839,7,-6.753,1,0.0618,0.00813,0.0,0.202,0.862,147.588
1772,Fire,The Pointer Sisters,65lHwG8JFJs67PnOUhCYPq,0.65,0.615,1,-9.332,1,0.0342,0.201,0.00235,0.0805,0.637,118.294
1773,"Casser la voix - Live ""Si Ce Soir""",Patrick Bruel,1rxtY5YguwETxBmFt7EPht,0.268,0.717,0,-9.665,1,0.055,0.0243,8.03e-06,0.836,0.337,135.226
1774,"Money, Money, Money",ABBA,3lKN03PDeBnXZS7sDukRBt,0.787,0.704,9,-6.873,0,0.0385,0.535,0.00305,0.089,0.646,120.701
1775,Lucky Man - 2012 Remastered Version,"Emerson, Lake & Palmer",2BURVLCtzmNylUqMVCLUbg,0.345,0.379,7,-15.662,1,0.0304,0.0914,0.0566,0.0486,0.477,154.779
1776,Lost on You,LP,3SqvR3HYLlCTYzbDXJ52OC,0.433,0.724,5,-6.126,0,0.0372,0.1,0.0,0.0918,0.689,174.006
1777,Feel Like Flying,Racoon,4Tx2D2JAY6ZBm8AwZkNLOi,0.672,0.686,6,-7.186,1,0.0262,0.0566,1.35e-05,0.0957,0.83,98.245
1778,Enola Gay - Remastered,Orchestral Manoeuvres In The Dark,3NYCaxkggl0Hh8vQptSUvV,0.559,0.764,2,-7.058,0,0.0348,0.00441,0.0299,0.0807,0.932,143.319
1779,Mmm Mmm Mmm Mmm,Crash Test Dummies,31v2AQlx4pDI7kmnLxBkem,0.58,0.575,3,-7.72,1,0.0231,0.25,1.83e-05,0.0813,0.37,92.934
1780,The Way We Were,Barbra Streisand,1vZTgn4JXWMahR8r99ug5H,0.264,0.32,9,-11.716,1,0.0325,0.885,0.00141,0.134,0.171,138.108
1781,Song Sung Blue - Single Version,Neil Diamond,4FZ8wtTaOAbYvyChBt4GEQ,0.556,0.327,0,-15.612,1,0.0311,0.467,1.32e-05,0.318,0.327,108.913
1782,"Accidentally In Love - From ""Shrek 2"" Soundtrack",Counting Crows,7FQSD5JjWqGtS1BaQQiT6V,0.555,0.926,7,-3.613,1,0.0363,0.0484,7.67e-06,0.171,0.771,138.017
1783,Love Is The Drug,Roxy Music,3wtMkvedoWMQ3XTKv7tqcZ,0.838,0.757,2,-5.399,1,0.0927,0.059,0.0119,0.0271,0.602,124.65
1784,With Arms Wide Open,Creed,2dl3ggnDYIs9vlLLFm68xc,0.413,0.528,0,-8.314,1,0.0305,0.00325,0.000989,0.119,0.143,138.914
1785,Show Me The Way,Peter Frampton,6BD1X1PeV5UzYUdiVaD2yL,0.7,0.726,2,-7.717,1,0.0329,0.434,1.1e-06,0.0963,0.641,130.109
1786,Heavy Cross,Gossip,4N6R6yqkFUTyF3AYOdR0T7,0.792,0.697,2,-4.204,1,0.032,0.0946,0.0899,0.131,0.22,120.051
1787,Foolish Games - Radio Edit,Jewel,1AqzqBB8HJXqcHaA77Lcx8,0.463,0.215,6,-9.962,1,0.0314,0.899,1.08e-06,0.108,0.149,130.855
1788,Take It to the Limit - 2013 Remaster,Eagles,2cWHN0WK52RGAWHgaDamUA,0.435,0.423,11,-8.795,1,0.024,0.0916,0.000659,0.132,0.451,91.137
1789,Mercy,Muse,2qkmPUG7ARsRwhVICQVwQS,0.482,0.926,7,-4.789,1,0.0549,0.00952,0.0,0.311,0.371,130.007
1790,Beast of Burden,Bette Midler,6TgqY8Vfm4StBe8hsxi3Ti,0.577,0.788,4,-6.813,1,0.0309,0.00727,1.27e-05,0.0637,0.914,105.428
1791,Anarchy In The UK,Sex Pistols,5moTxUGPZXgGmosl4rIELm,0.359,0.949,0,-7.649,1,0.101,0.0556,0.000396,0.236,0.212,134.118
1792,Love Rears Its Ugly Head,Living Colour,5huSgTVqBdIJTFhpShJfcg,0.615,0.477,2,-8.816,1,0.092,0.0558,6.25e-05,0.231,0.731,156.008
1793,Born to Be Alive,Patrick Hernandez,3XIEWK1V9n25PS9Vb6axj5,0.704,0.867,2,-5.808,1,0.0315,0.0846,0.0,0.206,0.809,131.467
1794,Let's Get It On,Marvin Gaye,39l1UORIhuHvUWfxG53tRZ,0.539,0.599,3,-10.638,1,0.0483,0.0375,0.0,0.0754,0.636,167.7
1795,Long Train Runnin',The Doobie Brothers,4nXkbcTj3nyww1cHkw5RAP,0.575,0.912,7,-7.275,0,0.0393,0.0916,0.00211,0.0562,0.843,117.399
1796,Brilliant Disguise,Bruce Springsteen,0nqbZ17t9v52SCemAm1QP0,0.703,0.726,9,-12.438,1,0.029,0.152,1.45e-06,0.0319,0.949,126.353
1797,Out In The Fields,Gary Moore,0deI3lZkgbVt6wRsv5s0Ev,0.439,0.947,2,-8.189,0,0.0627,0.0275,0.00579,0.394,0.359,179.997
1798,Woman From Tokyo - Remastered 2000,Deep Purple,6hzu1SR1YbSRIzfSFSsGhh,0.553,0.642,2,-8.418,1,0.0341,0.0045,0.00748,0.122,0.414,127.175
1799,Smooth (feat. Rob Thomas),Santana,0n2SEXB2qoRQg171q7XqeW,0.609,0.923,9,-3.908,1,0.0338,0.16,4.73e-06,0.295,0.961,115.996
1800,Als De Rook Om Je Hoofd Is Verdwenen,Boudewijn de Groot,2jpptvSaztyVA95fvLq5O9,0.516,0.537,0,-13.091,1,0.0316,0.0945,0.0,0.0387,0.514,131.867
1801,Dancing On My Own,Calum Scott,5sJselwQt6k2VS1iQI2tQA,0.682,0.173,1,-8.749,1,0.0314,0.839,3.26e-05,0.0983,0.236,112.663
1802,(They Long To Be) Close To You,Carpenters,2kyVQg00pphEufGT59M2XH,0.528,0.233,8,-15.362,1,0.0346,0.726,0.000108,0.122,0.208,89.044
1803,I Can't Make You Love Me,George Michael,2w4a4ur2uRf530cbzyTlWo,0.563,0.188,7,-13.363,1,0.0322,0.73,1.03e-06,0.106,0.12,115.818
1804,I Feel It Coming,The Weeknd,3dhjNA0jGA8vHBQ1VdD6vV,0.773,0.819,0,-5.946,0,0.118,0.428,0.0,0.0679,0.585,92.987
1805,Virtual Insanity - Remastered,Jamiroquai,47W6YR93MPCGLEUReLMyDm,0.662,0.949,6,-4.758,1,0.108,0.128,0.0,0.135,0.516,91.954
1806,Beautiful People (feat. Khalid),Ed Sheeran,4evmHXcjt3bTUHD1cvny97,0.64,0.648,5,-8.113,0,0.187,0.124,0.0,0.0802,0.548,92.977
1807,Just the Way You Are,Bruno Mars,47Slg6LuqLaX0VodpSCvPt,0.637,0.843,5,-5.413,1,0.0432,0.0151,0.0,0.0876,0.434,109.012
1808,White Flag,Dido,6si71supnBUhddjR2FJc2L,0.509,0.537,5,-6.834,1,0.0384,0.347,7.29e-06,0.0805,0.311,170.03
1809,Homesick,Dua Lipa,5E5MqaS6eOsbaJibl3YeMZ,0.426,0.224,6,-8.683,1,0.0391,0.948,0.0,0.112,0.399,85.728
1810,Famous Blue Raincoat,Leonard Cohen,77K5TB5KZmDZCoJCdd1NvE,0.474,0.0404,9,-22.208,0,0.0387,0.948,0.000263,0.111,0.18,119.415
1811,I Want You,Bob Dylan,7tJQ4Ekp2vN3NlI3vJJW3v,0.509,0.68,5,-8.354,1,0.0372,0.36,0.0,0.0824,0.802,99.924
1812,Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr.",1ko2lVN0vKGUl9zrU0qSlT,0.802,0.488,1,-9.304,1,0.0813,0.572,0.0598,0.0763,0.624,95.77
1813,Praise You,Fatboy Slim,10yY7i70r9wtllofw0GIpx,0.602,0.893,1,-8.657,1,0.0484,0.0897,0.271,0.194,0.516,109.711
1814,P.Y.T. (Pretty Young Thing),Michael Jackson,5lA3pwMkBdd24StM90QrNR,0.888,0.815,11,-4.909,0,0.0404,0.23,0.000424,0.127,0.961,127.273
1815,Heaven Can Wait,Meat Loaf,0fAhbZIPf3T1tgX9eDY3Fd,0.356,0.363,7,-11.745,1,0.0297,0.932,0.00161,0.158,0.228,120.546
1816,Out Of Space,The Prodigy,3CL3PBAaY6l0ZuQ3EDw4cl,0.639,0.872,9,-10.968,1,0.0555,0.00147,0.315,0.106,0.608,147.096
1817,Is This Love - 2018 Remaster,Whitesnake,3pHpV3pa96s4vuBP7sQq0V,0.263,0.759,0,-7.288,1,0.0431,0.0555,0.0,0.231,0.429,179.904
1818,Sunshine Of Your Love,Cream,6FRwDxXsvSasw0y2eDArsz,0.684,0.481,2,-12.59,1,0.0384,0.475,6.57e-05,0.118,0.784,115.078
1819,"Tonight, Tonight - Remastered 2012",The Smashing Pumpkins,7bu0znpSbTks0O6I98ij0W,0.277,0.67,6,-9.381,1,0.0376,6.28e-05,0.751,0.237,0.217,148.342
1820,Lovesong,The Cure,49edirvFZwWjxAMZJRg1hN,0.58,0.869,9,-4.349,0,0.0297,0.375,0.276,0.159,0.736,139.945
1821,All Things Under The Sun,Wulf,54aVgftgHKZK3fmcGKQfN0,0.639,0.74,2,-7.035,1,0.0314,0.185,0.000132,0.183,0.783,128.096
1822,Into Temptation,Crowded House,1kqIJgH6aVYwqQFjQPB0hn,0.446,0.37,4,-15.877,0,0.027,0.478,0.000205,0.0823,0.256,84.186
1823,Jacob’s Song,Douwe Bob,6aqpe7OnVWwRY67ZxIWJDf,0.361,0.507,4,-8.421,1,0.027,0.0406,0.0115,0.161,0.149,73.732
1824,Come Away With Me,Norah Jones,0Cvjlph1WGbwZY1PlMEtJY,0.363,0.129,0,-14.304,1,0.0322,0.904,1.52e-06,0.157,0.147,80.367
1825,Se bastasse una canzone,Eros Ramazzotti,0lH5rCS0zHhzrSWPStwqeL,0.464,0.481,0,-7.362,1,0.0321,0.222,0.0,0.0629,0.222,172.194
1826,Don't Let Me Be Misunderstood,Santa Esmeralda,6rhVKeUhQTGLIRmQOfc9Wo,0.668,0.815,9,-8.998,0,0.0833,0.0326,0.00102,0.0498,0.785,117.809
1827,Invisible Touch - Remastered 2007,Genesis,480dDrqG7LO6qDaphHeXlM,0.623,0.94,0,-5.731,1,0.0365,0.202,0.00184,0.0472,0.837,131.037
1828,Gute Nacht Freunde,Reinhard Mey,3GDLtXFmD1He894ANKjHi9,0.551,0.248,7,-18.057,1,0.0595,0.941,0.00245,0.688,0.286,100.005
1829,Let It Go,James Bay,3nnG7AM9QopHVPEuLX3Khk,0.536,0.311,1,-10.396,1,0.0288,0.82,1.65e-05,0.107,0.246,147.486
1830,Winter in Hamburg,Frank Boeijen Groep,3WTD1NqmlaxaI00K2Q1B0Z,0.596,0.473,9,-13.57,0,0.0306,0.703,0.000744,0.107,0.527,124.706
1831,Papa Can You Hear Me?,Barbra Streisand,4FkBydqPtECsV1O5z2VIpZ,0.268,0.144,10,-16.267,0,0.038,0.931,1.63e-06,0.093,0.132,90.46
1832,Gold on the Ceiling,The Black Keys,5lN1EH25gdiqT1SFALMAq1,0.505,0.833,0,-4.632,1,0.0475,0.00772,7.9e-05,0.069,0.565,130.121
1833,Youngblood,5 Seconds of Summer,2iUXsYOEPhVqEBwsqP70rE,0.596,0.854,7,-5.114,0,0.463,0.0169,0.0,0.124,0.152,120.274
1834,Mad World,Tears For Fears,0Qv7xi6uPSqH2k82tOkGSt,0.647,0.896,4,-5.949,1,0.0509,0.0709,0.0505,0.0614,0.953,118.729
1835,If I Could Turn Back Time,Cher,6mYrhCAGWzTdF8QnKuchXM,0.658,0.575,11,-10.365,1,0.0267,0.243,0.0,0.122,0.504,108.329
1836,Lego House,Ed Sheeran,5ubHAQtKuFfiG4FXfLP804,0.592,0.637,11,-8.48,1,0.0992,0.562,0.0,0.13,0.565,159.701
1837,Dakota,Stereophonics,3qaSqrrevBrb84xl5JlptU,0.506,0.93,4,-3.499,1,0.0675,0.129,0.00682,0.0931,0.305,146.994
1838,Green Eyes,Coldplay,3ou9rSNUQnE7XYmJkUUIOc,0.607,0.405,9,-8.607,1,0.0265,0.539,6.7e-06,0.231,0.233,129.543
1839,Give Up Your Guns,The Buoys,5kVFPD9CCQdFjd4cnTtHYB,0.417,0.502,11,-12.621,0,0.0282,0.48,0.00432,0.202,0.66,131.325
1840,Fox on the Run - Single Version,Sweet,2fpKkOzGcJ1tnBDnu8kJmp,0.474,0.809,4,-4.974,1,0.0386,0.00541,0.0,0.0602,0.702,127.599
1841,"Slaap Zacht , Elisabeth",Acda en de Munnik,2QsiZvzGw7VneWE1jRijm9,0.443,0.384,2,-10.864,1,0.0334,0.356,2.17e-06,0.0999,0.192,173.979
1842,Wêr Bisto,Twarres,6FoayFn7vcZvScTZ67HuZK,0.52,0.323,2,-10.534,1,0.0243,0.325,0.0,0.0938,0.178,87.972
1843,Love Shack,The B-52's,4W4wYHtsrgDiivRASVOINL,0.701,0.803,5,-6.786,0,0.0545,0.0544,1.54e-06,0.7,0.903,133.608
1844,Man Down,Rihanna,1Bx0zEdVjkFlV27iKaePug,0.47,0.904,0,-4.024,0,0.177,0.0436,0.0,0.0491,0.557,155.788
1845,It's a Sin,Pet Shop Boys,3GNwCZIv4xKUiyoaQfj9Ah,0.529,0.715,0,-11.419,0,0.0431,0.0925,0.000614,0.168,0.352,127.17
1846,One,Johnny Cash,5eReKc1D8ZQAg9kzQeHRdH,0.526,0.496,0,-8.129,1,0.0269,0.613,0.00549,0.386,0.423,93.792
1847,Back Down South,Kings of Leon,6HfFLqjxyFJYx1V0olSKof,0.476,0.619,0,-7.221,1,0.0398,0.0634,0.00075,0.258,0.154,117.113
1848,The Eyes of Jenny,Sandy Coast,6w8T2AwZ4k47OF1w2Jj2e1,0.679,0.527,9,-11.671,1,0.0351,0.34,0.0,0.0775,0.68,118.626
1849,Kissing a Fool,George Michael,4ZCaO5I6XdIHb0X2UwNDtZ,0.394,0.274,5,-14.314,1,0.031,0.168,8.55e-06,0.105,0.166,116.801
1850,Paloma Blanca,George Baker Selection,37dPgiT3cY5XFbG3Ldq7zv,0.719,0.632,5,-11.537,1,0.0289,0.169,1.6e-05,0.284,0.962,131.908
1851,Teardrops,Womack & Womack,2eRmD96ncTEgQwJmXa6rrg,0.872,0.715,11,-10.182,1,0.0468,0.0876,0.0706,0.177,0.967,133.225
1852,No Surrender,Kane,5h6n6r5ff3uTirL8IJ0OYf,0.505,0.405,11,-9.308,1,0.0371,0.202,0.0,0.106,0.12,89.086
1853,Heartbreak Warfare,John Mayer,4gs07VlJST4bdxGbBsXVue,0.624,0.554,2,-8.113,1,0.0225,0.191,0.00131,0.299,0.311,97.031
1854,Have You Ever Been Mellow,Party Animals,75CLNW6Goi8LZ6rYGDmfHS,0.601,0.955,11,-4.338,1,0.0517,0.196,0.898,0.25,0.568,171.579
1855,Original Sin,INXS,1jM23jASF0JrhgqYhqCZfl,0.685,0.633,9,-7.259,1,0.0377,0.0136,0.000106,0.0935,0.731,131.397
1856,Good Old-Fashioned Lover Boy - Remastered 2011,Queen,1n7xFAY4xoPeqRvrkzAtsw,0.543,0.461,3,-6.724,1,0.0302,0.577,0.0,0.0563,0.385,96.803
1857,Cats In The Cradle,Ugly Kid Joe,5x9RZg7HfXGY3JayXL3seF,0.511,0.517,8,-9.653,1,0.0328,0.13,0.0,0.074,0.433,75.67
1858,Little Red Rooster,The Rolling Stones,0wnhHBw4pHSC5ClLLzkL9K,0.728,0.442,7,-11.619,1,0.0443,0.0574,0.0487,0.125,0.677,109.365
